Date,Year,Month,Day,Country,State_Province,Confirmed_Cases,Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccinated_Percentage,New_Cases_Today,New_Deaths_Today,Population_Millions,Mortality_Rate_Percent,Recovery_Rate_Percent
28-08-2022,2022,August,28,China,N/A,3971,45,3498,428,73942,20.27,220,2,433.96,1.13,88.09
29-08-2022,2022,August,29,Japan,N/A,1590,23,1486,81,18136,18.14,53,1,1106.44,1.45,93.46
30-08-2022,2022,August,30,South Korea,N/A,1557,8,1167,382,13444,21.17,32,0,688.4,0.51,74.95
31-08-2022,2022,August,31,Turkey,N/A,1978,26,1403,549,14250,11.89,70,1,564.02,1.31,70.93
1/9/2022,2022,September,1,Spain,N/A,2651,42,2179,430,50133,15.67,38,4,810.08,1.58,82.2
2/9/2022,2022,September,2,Colombia,N/A,2229,28,1907,294,32970,15.61,85,1,1038.38,1.26,85.55
3/9/2022,2022,September,3,Poland,N/A,297,4,233,60,5084,14.18,7,0,184.57,1.35,78.45
4/9/2022,2022,September,4,China,N/A,481,12,430,39,8094,19.41,14,0,1207.06,2.49,89.4
5/9/2022,2022,September,5,Turkey,N/A,1279,14,1054,211,21922,15.51,80,0,1186.65,1.09,82.41
6/9/2022,2022,September,6,Bangladesh,N/A,3337,57,2479,801,30636,19.98,140,2,1362.2,1.71,74.29
7/9/2022,2022,September,7,Pakistan,N/A,2203,19,1979,205,36962,11.8,75,0,1313.25,0.86,89.83
8/9/2022,2022,September,8,Russia,N/A,85,1,70,14,775,24.48,7,0,288.18,1.18,82.35
9/9/2022,2022,September,9,France,N/A,3219,46,2492,681,59041,15.74,115,3,606.72,1.43,77.42
10/9/2022,2022,September,10,Russia,N/A,3056,80,2882,94,27503,14.42,106,6,948.24,2.62,94.31
11/9/2022,2022,September,11,Spain,N/A,1131,14,873,244,10227,23.31,62,0,236.33,1.24,77.19
12/9/2022,2022,September,12,South Korea,N/A,1034,18,903,113,19782,19.54,49,0,872.78,1.74,87.33
13-09-2022,2022,September,13,Canada,N/A,1725,27,1334,364,9919,21.06,9,1,352.87,1.57,77.33
14-09-2022,2022,September,14,Bangladesh,N/A,1001,20,726,255,17556,12.14,52,1,198.49,2,72.53
15-09-2022,2022,September,15,Bangladesh,N/A,1736,31,1471,234,16441,14.74,122,1,604.99,1.79,84.74
16-09-2022,2022,September,16,Spain,N/A,1700,19,1533,148,12761,24.06,119,1,462.83,1.12,90.18
17-09-2022,2022,September,17,UK,N/A,2751,62,2293,396,41769,30.75,127,4,578.46,2.25,83.35
18-09-2022,2022,September,18,Pakistan,N/A,1949,52,1385,512,26524,25.28,85,3,424.03,2.67,71.06
19-09-2022,2022,September,19,France,N/A,48,0,39,9,315,15.92,3,0,1074.42,0,81.25
20-09-2022,2022,September,20,India,Kerala,2576,53,2121,402,21043,23.93,15,1,909.67,2.06,82.34
21-09-2022,2022,September,21,Russia,N/A,1793,13,1639,141,17296,23.82,106,0,826.83,0.73,91.41
22-09-2022,2022,September,22,USA,N/A,1647,27,1231,389,13790,18.01,26,1,402.7,1.64,74.74
23-09-2022,2022,September,23,India,Haryana,4210,70,3529,611,54505,17.29,191,3,196.2,1.66,83.82
24-09-2022,2022,September,24,France,N/A,2057,40,1768,249,25575,22.73,62,2,295.67,1.94,85.95
25-09-2022,2022,September,25,Spain,N/A,1601,44,1282,275,12994,24.35,91,2,751.64,2.75,80.07
26-09-2022,2022,September,26,Bangladesh,N/A,1985,27,1582,376,25148,19.06,91,0,861.06,1.36,79.7
27-09-2022,2022,September,27,Mexico,N/A,891,13,691,187,14002,19.91,32,1,567.82,1.46,77.55
28-09-2022,2022,September,28,Mexico,N/A,2875,40,2702,133,33520,24.08,191,2,1252.13,1.39,93.98
29-09-2022,2022,September,29,Italy,N/A,516,9,398,109,7901,7.77,7,0,507.85,1.74,77.13
30-09-2022,2022,September,30,Iran,N/A,2757,53,2193,511,52433,26.82,7,4,659.24,1.92,79.54
1/10/2022,2022,October,1,Iran,N/A,986,17,865,104,11181,13.73,65,0,647.03,1.72,87.73
2/10/2022,2022,October,2,Spain,N/A,1269,12,945,312,6611,22.34,71,0,400.1,0.95,74.47
3/10/2022,2022,October,3,Ukraine,N/A,2092,28,1539,525,39475,18.92,69,1,432.68,1.34,73.57
4/10/2022,2022,October,4,Argentina,N/A,1421,11,1074,336,24393,19.26,68,0,457.52,0.77,75.58
5/10/2022,2022,October,5,Brazil,N/A,1972,15,1654,303,18355,15.73,73,0,713.1,0.76,83.87
6/10/2022,2022,October,6,Iran,N/A,2528,66,1874,588,40372,22.12,127,2,845.83,2.61,74.13
7/10/2022,2022,October,7,Colombia,N/A,2314,32,1741,541,38510,12.49,112,1,1088.25,1.38,75.24
8/10/2022,2022,October,8,Iran,N/A,2180,15,1883,282,11503,18.33,125,0,1011.98,0.69,86.38
9/10/2022,2022,October,9,Iran,N/A,2338,49,1726,563,34363,23.1,83,3,67.96,2.1,73.82
10/10/2022,2022,October,10,Turkey,N/A,2964,69,2261,634,26402,16.08,167,3,1080.23,2.33,76.28
11/10/2022,2022,October,11,Japan,N/A,3016,35,2614,367,51559,19.24,77,0,674.98,1.16,86.67
12/10/2022,2022,October,12,Spain,N/A,2456,56,1771,629,20384,26.05,92,3,183.85,2.28,72.11
13-10-2022,2022,October,13,Turkey,N/A,1604,34,1224,346,8466,25.27,123,2,1326.09,2.12,76.31
14-10-2022,2022,October,14,Australia,N/A,2145,15,1657,473,22706,22.74,166,1,166.05,0.7,77.25
15-10-2022,2022,October,15,Argentina,N/A,2662,76,2286,300,19535,25.18,184,2,571.78,2.85,85.88
16-10-2022,2022,October,16,South Africa,N/A,2344,52,1937,355,12621,12.61,123,2,358.34,2.22,82.64
17-10-2022,2022,October,17,Canada,N/A,2076,12,1747,317,22780,26.86,86,1,136.93,0.58,84.15
18-10-2022,2022,October,18,Mexico,N/A,3424,93,3199,132,19874,8.65,172,6,393.55,2.72,93.43
19-10-2022,2022,October,19,China,N/A,2494,60,2064,370,33298,15.22,8,3,605.99,2.41,82.76
20-10-2022,2022,October,20,Ukraine,N/A,1538,15,1324,199,27207,29.24,70,1,347.42,0.98,86.09
21-10-2022,2022,October,21,South Korea,N/A,3147,23,2936,188,33414,19.5,111,1,972.66,0.73,93.3
22-10-2022,2022,October,22,Bangladesh,N/A,4590,49,4052,489,40637,23.19,145,2,744.42,1.07,88.28
23-10-2022,2022,October,23,Spain,N/A,3099,32,2268,799,30017,33.45,180,1,852.65,1.03,73.18
24-10-2022,2022,October,24,UK,N/A,3100,65,2890,145,22643,19.22,75,2,356.22,2.1,93.23
25-10-2022,2022,October,25,Bangladesh,N/A,2889,22,2379,488,40845,25.32,87,0,36.49,0.76,82.35
26-10-2022,2022,October,26,South Korea,N/A,3134,24,2917,193,53513,16.8,104,0,1356.99,0.77,93.08
27-10-2022,2022,October,27,USA,N/A,4739,47,3347,1345,25136,28.18,345,1,475.95,0.99,70.63
28-10-2022,2022,October,28,Brazil,N/A,2108,29,1952,127,41580,14.22,71,0,46.64,1.38,92.6
29-10-2022,2022,October,29,Bangladesh,N/A,3325,50,2911,364,44408,18.43,222,0,496.11,1.5,87.55
30-10-2022,2022,October,30,Pakistan,N/A,4945,106,3702,1137,53706,26.64,330,6,1031.58,2.14,74.86
31-10-2022,2022,October,31,Canada,N/A,2573,57,2182,334,46778,13.83,78,4,860.89,2.22,84.8
1/11/2022,2022,November,1,Spain,N/A,3350,66,3044,240,54692,21.28,277,3,1284.61,1.97,90.87
2/11/2022,2022,November,2,Indonesia,N/A,3433,44,2448,941,66016,25.08,194,1,718.25,1.28,71.31
3/11/2022,2022,November,3,Argentina,N/A,4984,56,4579,349,94004,23.29,269,3,984.19,1.12,91.87
4/11/2022,2022,November,4,Russia,N/A,3375,57,2750,568,45552,20.24,89,4,1118.48,1.69,81.48
5/11/2022,2022,November,5,Canada,N/A,2298,26,2139,133,38215,29.5,145,1,516.36,1.13,93.08
6/11/2022,2022,November,6,Spain,N/A,2829,48,2526,255,21290,24.61,187,3,185.87,1.7,89.29
7/11/2022,2022,November,7,Iran,N/A,2724,42,2078,604,28831,19.36,111,2,68.92,1.54,76.28
8/11/2022,2022,November,8,Australia,N/A,1620,10,1269,341,20475,12.22,88,0,64.72,0.62,78.33
9/11/2022,2022,November,9,Canada,N/A,3737,19,3127,591,60350,19.86,98,0,616.52,0.51,83.68
10/11/2022,2022,November,10,Turkey,N/A,3657,69,2971,617,53758,20.38,162,0,980.56,1.89,81.24
11/11/2022,2022,November,11,Italy,N/A,2151,13,2039,99,13076,20.23,89,1,34.73,0.6,94.79
12/11/2022,2022,November,12,Pakistan,N/A,1994,41,1500,453,10879,30.21,28,3,615.59,2.06,75.23
13-11-2022,2022,November,13,Russia,N/A,4141,58,3567,516,22863,22.43,274,3,712.18,1.4,86.14
14-11-2022,2022,November,14,India,Delhi,2824,36,2456,332,37977,18.49,91,2,1380.38,1.27,86.97
15-11-2022,2022,November,15,France,N/A,4387,45,3917,425,23265,19.16,397,3,1196.12,1.03,89.29
16-11-2022,2022,November,16,Turkey,N/A,2254,52,1822,380,19370,15.27,132,3,17.65,2.31,80.83
17-11-2022,2022,November,17,Iran,N/A,2823,51,2019,753,22954,16.69,139,3,1321.14,1.81,71.52
18-11-2022,2022,November,18,Iran,N/A,3527,69,2797,661,32451,17.08,137,2,887.71,1.96,79.3
19-11-2022,2022,November,19,Germany,N/A,2469,53,2339,77,15702,14.91,170,3,215.69,2.15,94.73
20-11-2022,2022,November,20,Mexico,N/A,3857,79,2881,897,52207,25.25,247,4,869.73,2.05,74.7
21-11-2022,2022,November,21,UK,N/A,1476,35,1365,76,27648,17.57,95,1,199.03,2.37,92.48
22-11-2022,2022,November,22,South Africa,N/A,2349,27,2134,188,22100,24.71,111,1,143.61,1.15,90.85
23-11-2022,2022,November,23,Colombia,N/A,2458,37,1980,441,38195,28.1,109,1,879.2,1.51,80.55
24-11-2022,2022,November,24,Brazil,N/A,2804,46,2287,471,36892,34.32,143,3,320.22,1.64,81.56
25-11-2022,2022,November,25,France,N/A,1964,27,1552,385,34926,29.87,115,1,35.8,1.37,79.02
26-11-2022,2022,November,26,Ukraine,N/A,2769,16,2506,247,36517,15.15,94,0,454.07,0.58,90.5
27-11-2022,2022,November,27,UK,N/A,4322,50,3187,1085,27442,16.34,229,2,395.03,1.16,73.74
28-11-2022,2022,November,28,Australia,N/A,2173,52,1558,563,15668,24.5,122,1,75.73,2.39,71.7
29-11-2022,2022,November,29,South Africa,N/A,3351,53,2938,360,46294,24.05,41,2,185.44,1.58,87.68
30-11-2022,2022,November,30,Spain,N/A,2717,37,1980,700,15170,25.57,208,1,1323.06,1.36,72.87
1/12/2022,2022,December,1,Canada,N/A,1884,14,1558,312,22557,23.77,145,0,1325.98,0.74,82.7
2/12/2022,2022,December,2,USA,N/A,3162,16,2754,392,16715,25.92,246,0,96.62,0.51,87.1
3/12/2022,2022,December,3,France,N/A,3159,26,2911,222,50375,22.53,81,0,1203,0.82,92.15
4/12/2022,2022,December,4,Mexico,N/A,2544,23,2024,497,45980,23.66,120,1,550.47,0.9,79.56
5/12/2022,2022,December,5,Indonesia,N/A,4224,63,3647,514,22315,22.95,176,3,25.44,1.49,86.34
6/12/2022,2022,December,6,China,N/A,2704,30,2385,289,30541,25.08,100,1,630.72,1.11,88.2
7/12/2022,2022,December,7,Canada,N/A,3736,84,3426,226,40169,16.56,73,1,837.8,2.25,91.7
8/12/2022,2022,December,8,USA,N/A,1925,17,1661,247,27298,18.02,127,1,452.62,0.88,86.29
9/12/2022,2022,December,9,South Korea,N/A,4725,138,3809,778,82791,20.45,454,9,140.19,2.92,80.61
10/12/2022,2022,December,10,Canada,N/A,2323,35,1803,485,43865,28.21,86,3,364.9,1.51,77.62
11/12/2022,2022,December,11,Canada,N/A,3335,74,2400,861,46417,30,221,2,462.63,2.22,71.96
12/12/2022,2022,December,12,Spain,N/A,3091,51,2795,245,38998,25.39,154,2,415.46,1.65,90.42
13-12-2022,2022,December,13,Bangladesh,N/A,3258,94,2796,368,43373,18.17,272,3,1157.08,2.89,85.82
14-12-2022,2022,December,14,Iran,N/A,4470,25,3575,870,88458,20.71,143,1,1217.21,0.56,79.98
15-12-2022,2022,December,15,South Africa,N/A,3049,39,2433,577,28019,22.57,180,2,1188.15,1.28,79.8
16-12-2022,2022,December,16,China,N/A,1865,19,1771,75,21440,17.12,114,1,440.95,1.02,94.96
17-12-2022,2022,December,17,Indonesia,N/A,3935,57,3303,575,53718,19.94,105,1,1065.79,1.45,83.94
18-12-2022,2022,December,18,Turkey,N/A,2142,62,1927,153,15099,23.03,103,1,642.59,2.89,89.96
19-12-2022,2022,December,19,Turkey,N/A,3080,83,2676,321,31150,27.74,163,2,59.82,2.69,86.88
20-12-2022,2022,December,20,USA,N/A,3282,46,2623,613,24981,27.72,132,3,710.63,1.4,79.92
21-12-2022,2022,December,21,USA,N/A,2970,42,2328,600,26096,24.15,153,2,490.8,1.41,78.38
22-12-2022,2022,December,22,Bangladesh,N/A,3610,99,2984,527,50220,25.89,218,5,674.31,2.74,82.66
23-12-2022,2022,December,23,India,Chhattisgarh,3255,19,2377,859,58517,30.34,197,0,1065.72,0.58,73.03
24-12-2022,2022,December,24,Spain,N/A,4364,115,3951,298,29825,20.38,315,7,605.4,2.64,90.54
25-12-2022,2022,December,25,Russia,N/A,2740,37,2324,379,21432,22.36,145,3,513.49,1.35,84.82
26-12-2022,2022,December,26,Brazil,N/A,4301,35,4029,237,58400,21.58,47,1,498.29,0.81,93.68
27-12-2022,2022,December,27,UK,N/A,3519,75,2827,617,19946,25.18,251,5,471.29,2.13,80.34
28-12-2022,2022,December,28,Indonesia,N/A,3803,91,2914,798,27633,16.6,256,3,984.92,2.39,76.62
29-12-2022,2022,December,29,Russia,N/A,3687,50,2734,903,20281,25.89,167,1,1357.78,1.36,74.15
30-12-2022,2022,December,30,Brazil,N/A,2640,74,2050,516,28976,16.53,186,4,802.62,2.8,77.65
31-12-2022,2022,December,31,Iran,N/A,4815,82,3783,950,54291,24.99,274,2,859.58,1.7,78.57
1/1/2023,2023,January,1,France,N/A,2568,66,1876,626,44520,27.02,129,3,950.03,2.57,73.05
2/1/2023,2023,January,2,Pakistan,N/A,2051,28,1733,290,12530,24.63,107,1,1398.06,1.37,84.5
3/1/2023,2023,January,3,Spain,N/A,2857,17,2218,622,44103,14.7,40,0,113.36,0.6,77.63
4/1/2023,2023,January,4,USA,N/A,4091,71,3141,879,78604,18.5,199,2,915.23,1.74,76.78
5/1/2023,2023,January,5,Ukraine,N/A,4155,50,3806,299,75940,21.7,201,2,655.89,1.2,91.6
6/1/2023,2023,January,6,Germany,N/A,3543,48,2611,884,51517,28.67,58,1,289.4,1.35,73.69
7/1/2023,2023,January,7,India,Delhi,5058,57,3934,1067,34476,21.94,366,4,575.28,1.13,77.78
8/1/2023,2023,January,8,Turkey,N/A,5457,103,4180,1174,37923,9.09,262,6,1127.54,1.89,76.6
9/1/2023,2023,January,9,South Korea,N/A,3857,81,3388,388,36214,18.82,48,3,8.83,2.1,87.84
10/1/2023,2023,January,10,Pakistan,N/A,3500,95,3075,330,19425,29.8,145,6,1214.83,2.71,87.86
11/1/2023,2023,January,11,Argentina,N/A,4177,115,3455,607,64384,22.93,128,4,888.04,2.75,82.71
12/1/2023,2023,January,12,Indonesia,N/A,2535,69,2380,86,32232,20.81,143,1,428.05,2.72,93.89
13-01-2023,2023,January,13,Indonesia,N/A,3374,78,2924,372,60941,23.26,238,6,1145.68,2.31,86.66
14-01-2023,2023,January,14,Indonesia,N/A,2979,69,2522,388,34984,18.6,205,4,1254.3,2.32,84.66
15-01-2023,2023,January,15,France,N/A,2277,52,1623,602,12416,19.77,85,5,311.01,2.28,71.28
16-01-2023,2023,January,16,South Africa,N/A,4113,30,3321,762,56757,20.65,227,1,1228.59,0.73,80.74
17-01-2023,2023,January,17,Colombia,N/A,2876,71,2568,237,54048,17.57,148,5,131.57,2.47,89.29
18-01-2023,2023,January,18,Ukraine,N/A,3629,74,2934,621,41358,11.22,212,3,1357.88,2.04,80.85
19-01-2023,2023,January,19,Ukraine,N/A,5115,62,4717,336,93150,24.18,413,3,500.16,1.21,92.22
20-01-2023,2023,January,20,France,N/A,2568,53,2329,186,40091,35.15,96,2,1100.08,2.06,90.69
21-01-2023,2023,January,21,USA,N/A,3913,89,3183,641,47395,19.75,192,3,1241.14,2.27,81.34
22-01-2023,2023,January,22,Indonesia,N/A,2961,23,2590,348,15075,17.17,143,1,902.68,0.78,87.47
23-01-2023,2023,January,23,Turkey,N/A,3921,63,2807,1051,66404,21.15,71,6,1145.21,1.61,71.59
24-01-2023,2023,January,24,China,N/A,2605,76,2267,262,29337,27.52,172,3,602.41,2.92,87.02
25-01-2023,2023,January,25,Canada,N/A,5794,116,4350,1328,108892,25.58,234,4,138.71,2,75.08
26-01-2023,2023,January,26,Russia,N/A,3851,90,3129,632,37943,23.82,274,7,1142,2.34,81.25
27-01-2023,2023,January,27,Poland,N/A,3481,51,2598,832,58770,18.22,161,1,181.38,1.47,74.63
28-01-2023,2023,January,28,India,Gujarat,3367,25,2632,710,23710,24.82,109,1,461.61,0.74,78.17
29-01-2023,2023,January,29,Iran,N/A,5027,89,4667,271,98112,20.16,336,4,634.77,1.77,92.84
30-01-2023,2023,January,30,Japan,N/A,2265,25,2011,229,14552,17.56,42,0,1204.99,1.1,88.79
31-01-2023,2023,January,31,France,N/A,3640,81,3282,277,54430,12.99,284,4,1013.77,2.23,90.16
1/2/2023,2023,February,1,Spain,N/A,4016,115,2912,989,29452,20.63,260,5,916.37,2.86,72.51
2/2/2023,2023,February,2,Germany,N/A,4236,97,3055,1084,27947,29.85,222,3,1223.98,2.29,72.12
3/2/2023,2023,February,3,India,Punjab,3952,45,3665,242,74036,28.66,117,3,415.82,1.14,92.74
4/2/2023,2023,February,4,France,N/A,3847,91,3236,520,45080,22.72,41,6,761.91,2.37,84.12
5/2/2023,2023,February,5,France,N/A,3144,34,2869,241,41998,25.23,79,2,635.17,1.08,91.25
6/2/2023,2023,February,6,Brazil,N/A,3499,81,3318,100,53120,20.76,156,4,1258.9,2.31,94.83
7/2/2023,2023,February,7,South Africa,N/A,5824,103,5257,464,67303,23.54,171,8,1302.86,1.77,90.26
8/2/2023,2023,February,8,Pakistan,N/A,4724,71,3969,684,68754,15.14,190,4,1013.85,1.5,84.02
9/2/2023,2023,February,9,Pakistan,N/A,3631,79,2571,981,50084,12.7,232,4,76.35,2.18,70.81
10/2/2023,2023,February,10,India,Madhya Pradesh,3090,73,2652,365,51256,28.54,102,3,476.51,2.36,85.83
11/2/2023,2023,February,11,Indonesia,N/A,4785,102,3836,847,42728,26.84,194,3,597.75,2.13,80.17
12/2/2023,2023,February,12,India,Telangana,5555,125,5132,298,47479,28.93,193,9,1228.82,2.25,92.39
13-02-2023,2023,February,13,China,N/A,3488,69,3290,129,34577,21.86,197,6,382.27,1.98,94.32
14-02-2023,2023,February,14,Iran,N/A,2948,79,2679,190,24900,18.67,161,2,1084.6,2.68,90.88
15-02-2023,2023,February,15,Turkey,N/A,5512,116,3897,1499,28792,20.94,213,4,194.1,2.1,70.7
16-02-2023,2023,February,16,Germany,N/A,2030,21,1585,424,25966,25.56,119,0,1325.16,1.03,78.08
17-02-2023,2023,February,17,Canada,N/A,4769,64,4070,635,85426,24.53,389,1,1231.3,1.34,85.34
18-02-2023,2023,February,18,Poland,N/A,4517,97,3931,489,25159,21.11,448,4,1246.55,2.15,87.03
19-02-2023,2023,February,19,Bangladesh,N/A,3449,54,3124,271,65039,28.39,205,2,75.61,1.57,90.58
20-02-2023,2023,February,20,South Korea,N/A,3006,48,2709,249,22317,28,79,3,183.5,1.6,90.12
21-02-2023,2023,February,21,Turkey,N/A,2952,15,2729,208,40501,16.8,107,0,1388.25,0.51,92.45
22-02-2023,2023,February,22,Bangladesh,N/A,6351,109,4648,1594,32228,25.66,561,3,653.93,1.72,73.19
23-02-2023,2023,February,23,India,Kerala,3285,54,2682,549,29088,20.97,228,2,452.29,1.64,81.64
24-02-2023,2023,February,24,Ukraine,N/A,3346,97,2987,262,61812,28.62,212,5,1116.69,2.9,89.27
25-02-2023,2023,February,25,Mexico,N/A,4860,93,4564,203,46131,21.13,92,3,96.84,1.91,93.91
26-02-2023,2023,February,26,Iran,N/A,4994,101,3644,1249,94189,18.03,371,7,842.46,2.02,72.97
27-02-2023,2023,February,27,China,N/A,4380,92,3302,986,69771,25.36,101,3,532.17,2.1,75.39
28-02-2023,2023,February,28,Indonesia,N/A,4656,71,4409,176,56090,25.5,204,7,134.84,1.52,94.7
1/3/2023,2023,March,1,Poland,N/A,3397,43,2639,715,31711,24.5,168,1,592.6,1.27,77.69
2/3/2023,2023,March,2,UK,N/A,4692,95,4081,516,48178,28.78,127,4,264.26,2.02,86.98
3/3/2023,2023,March,3,UK,N/A,3541,96,3333,112,64717,22.41,157,8,916.83,2.71,94.13
4/3/2023,2023,March,4,Colombia,N/A,4061,33,2935,1093,31162,27.7,245,2,280.82,0.81,72.27
5/3/2023,2023,March,5,South Korea,N/A,3383,44,2656,683,50504,29.97,159,2,90.87,1.3,78.51
6/3/2023,2023,March,6,Spain,N/A,4320,119,3267,934,57049,23.18,269,5,1106.51,2.75,75.62
7/3/2023,2023,March,7,Italy,N/A,2286,36,1744,506,22624,23.19,76,2,589.41,1.57,76.29
8/3/2023,2023,March,8,Italy,N/A,4729,124,4435,170,63931,28.02,376,5,772.53,2.62,93.78
9/3/2023,2023,March,9,Poland,N/A,3280,78,2666,536,63559,27.58,89,4,1219.91,2.38,81.28
10/3/2023,2023,March,10,Germany,N/A,4100,80,3625,395,20728,24.62,67,7,426.09,1.95,88.41
11/3/2023,2023,March,11,Pakistan,N/A,7228,49,5138,2041,59695,27.41,409,2,1093.58,0.68,71.08
12/3/2023,2023,March,12,Ukraine,N/A,3328,94,2883,351,29873,15.06,300,6,1202.43,2.82,86.63
13-03-2023,2023,March,13,Poland,N/A,7856,48,7240,568,105539,12.98,360,1,1166.16,0.61,92.16
14-03-2023,2023,March,14,Russia,N/A,4153,44,3032,1077,21144,23.93,207,1,1227.73,1.06,73.01
15-03-2023,2023,March,15,Australia,N/A,4696,90,4216,390,62909,19.93,212,5,1358.12,1.92,89.78
16-03-2023,2023,March,16,UK,N/A,4604,97,4122,385,52859,14.8,329,7,636.05,2.11,89.53
17-03-2023,2023,March,17,Pakistan,N/A,3443,64,2755,624,39464,23.07,125,2,537.63,1.86,80.02
18-03-2023,2023,March,18,USA,N/A,4544,106,3421,1017,49536,26.4,278,3,188.8,2.33,75.29
19-03-2023,2023,March,19,Colombia,N/A,3859,48,3305,506,66837,32.55,200,1,934.95,1.24,85.64
20-03-2023,2023,March,20,USA,N/A,2860,84,2477,299,55335,25.38,125,4,1110.19,2.94,86.61
21-03-2023,2023,March,21,Canada,N/A,3280,22,3011,247,47558,21.95,214,1,382.33,0.67,91.8
22-03-2023,2023,March,22,South Korea,N/A,3879,20,2716,1143,55242,20.95,153,0,439.45,0.52,70.02
23-03-2023,2023,March,23,South Korea,N/A,3877,38,3234,605,68782,29.02,314,0,581.79,0.98,83.42
24-03-2023,2023,March,24,South Korea,N/A,4686,103,4033,550,83958,17.97,230,7,858.76,2.2,86.06
25-03-2023,2023,March,25,Argentina,N/A,2997,58,2686,253,28194,20.42,232,4,1098.22,1.94,89.62
26-03-2023,2023,March,26,Canada,N/A,3543,81,2532,930,48619,23.31,180,4,483.5,2.29,71.46
27-03-2023,2023,March,27,South Korea,N/A,2777,53,2010,714,20564,22.56,97,2,958.46,1.91,72.38
28-03-2023,2023,March,28,Brazil,N/A,4474,102,4117,255,65233,17.33,52,3,773.55,2.28,92.02
29-03-2023,2023,March,29,India,Kerala,5257,77,4758,422,61861,28,286,2,1273.2,1.46,90.51
30-03-2023,2023,March,30,Italy,N/A,2771,23,2047,701,40058,26.93,162,0,502.91,0.83,73.87
31-03-2023,2023,March,31,India,Tamil Nadu,3297,77,2711,509,17912,24.02,116,2,1010.95,2.34,82.23
1/4/2023,2023,April,1,Poland,N/A,4322,102,3461,759,65587,18.66,63,4,971.06,2.36,80.08
2/4/2023,2023,April,2,Italy,N/A,3529,23,2512,994,20880,15.48,178,1,1226.57,0.65,71.18
3/4/2023,2023,April,3,China,N/A,3225,44,2931,250,52814,20.37,141,1,472.36,1.36,90.88
4/4/2023,2023,April,4,Japan,N/A,4219,36,3884,299,31666,21.58,183,2,354.17,0.85,92.06
5/4/2023,2023,April,5,Indonesia,N/A,4642,97,3450,1095,70750,33.23,92,5,1139.76,2.09,74.32
6/4/2023,2023,April,6,USA,N/A,4941,55,3631,1255,53622,28.76,156,3,64.94,1.11,73.49
7/4/2023,2023,April,7,Pakistan,N/A,3912,92,3204,616,22492,16.62,328,6,611.82,2.35,81.9
8/4/2023,2023,April,8,Iran,N/A,3606,88,2575,943,46430,18.14,208,7,170.06,2.44,71.41
9/4/2023,2023,April,9,Indonesia,N/A,3948,49,2978,921,39116,18.36,231,2,327.04,1.24,75.43
10/4/2023,2023,April,10,Poland,N/A,3642,25,2554,1063,19837,31.52,208,1,723.4,0.69,70.13
11/4/2023,2023,April,11,Italy,N/A,2464,23,1953,488,13365,22.89,111,1,1171.97,0.93,79.26
12/4/2023,2023,April,12,South Africa,N/A,3670,79,3040,551,38352,19.32,260,0,387.99,2.15,82.83
13-04-2023,2023,April,13,Bangladesh,N/A,5142,145,3983,1014,53412,27.81,411,5,655.51,2.82,77.46
14-04-2023,2023,April,14,Pakistan,N/A,2670,62,2278,330,21613,23.74,122,4,602.74,2.32,85.32
15-04-2023,2023,April,15,Pakistan,N/A,4561,56,3391,1114,76960,23.49,277,5,609.54,1.23,74.35
16-04-2023,2023,April,16,Ukraine,N/A,3569,60,3162,347,58802,25.56,97,4,856.48,1.68,88.6
17-04-2023,2023,April,17,Colombia,N/A,3496,22,2449,1025,22784,26.4,0,1,203.37,0.63,70.05
18-04-2023,2023,April,18,South Africa,N/A,3502,104,2729,669,25329,26.3,266,5,594.09,2.97,77.93
19-04-2023,2023,April,19,South Africa,N/A,3442,96,2754,592,27140,27.54,141,2,210.34,2.79,80.01
20-04-2023,2023,April,20,Mexico,N/A,5649,163,4171,1315,68789,20.73,636,10,178.2,2.89,73.84
21-04-2023,2023,April,21,China,N/A,4493,45,4044,404,64554,16.65,209,2,728.61,1,90.01
22-04-2023,2023,April,22,Bangladesh,N/A,3438,90,2750,598,54831,30.55,180,3,780,2.62,79.99
23-04-2023,2023,April,23,India,Haryana,3722,70,3449,203,53480,18.75,108,5,1112.83,1.88,92.67
24-04-2023,2023,April,24,Spain,N/A,3500,24,2747,729,33819,25.35,323,0,691.82,0.69,78.49
25-04-2023,2023,April,25,Brazil,N/A,4311,22,3972,317,39110,25.56,304,1,1101.05,0.51,92.14
26-04-2023,2023,April,26,Argentina,N/A,3870,74,2991,805,42701,20.37,255,3,745.51,1.91,77.29
27-04-2023,2023,April,27,France,N/A,4634,124,3491,1019,52808,23.69,294,4,727.71,2.68,75.33
28-04-2023,2023,April,28,South Africa,N/A,2622,42,2371,209,34101,30.49,64,2,80.2,1.6,90.43
29-04-2023,2023,April,29,Iran,N/A,5172,142,4532,498,87697,19.1,324,8,265.81,2.75,87.63
30-04-2023,2023,April,30,South Korea,N/A,5096,133,4351,612,47825,32.73,188,5,86.02,2.61,85.38
1/5/2023,2023,May,1,Colombia,N/A,4262,81,4018,163,77784,31.3,284,4,74.39,1.9,94.27
2/5/2023,2023,May,2,Indonesia,N/A,3211,30,2658,523,20546,23.2,200,1,35.49,0.93,82.78
3/5/2023,2023,May,3,Iran,N/A,3629,93,2641,895,68255,37.77,133,7,1136.97,2.56,72.77
