Record_ID,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,Temperature_C,Humidity_%,Wind_Speed_kmph
1160,16-06-2023,Pune,25.2,37.5,65.3,7.5,0.56,7.5,7,Good,25.1,30.2,5.2
1161,16-06-2023,Ahmedabad,47.9,70.2,9.9,2.4,2.46,43,61,Satisfactory,33.1,60.7,2
1162,16-06-2023,Kolkata,53.4,100.6,11.6,2.3,0.3,10.2,72,Satisfactory,30.4,84.8,2.1
1163,17-06-2023,Lucknow,14.8,25.7,52.4,4.3,3.06,59.2,15,Good,24.6,25.5,3.1
1164,17-06-2023,Pune,11.6,20.6,16.1,10.1,0.76,15.5,4,Good,33.6,33.6,1
1165,17-06-2023,Ahmedabad,46.8,86.8,11.8,14.1,0.4,5,83,Satisfactory,32.5,50.8,6.9
1166,17-06-2023,Delhi,93.7,123.6,28.9,7.5,1.25,10.4,215,Poor,27.5,62.1,2.7
1167,17-06-2023,Ahmedabad,28.8,43.8,21.1,5.5,1.19,39.9,49,Good,23.6,78.6,5.1
1168,17-06-2023,Hyderabad,15.9,29.7,9.8,9.5,1.85,14.9,41,Good,23.5,90.7,0.4
1169,17-06-2023,Ahmedabad,12.7,17,26.4,32,0.55,22.8,21,Good,22.4,79.2,1.9
1170,18-06-2023,Delhi,129.3,170.5,40.2,2.9,2.96,20.6,315,Very Poor,15.6,64.2,3
1171,18-06-2023,Ahmedabad,39.7,61.7,34.8,16,1.42,33.1,77,Satisfactory,36,56,3.2
1172,19-06-2023,Jaipur,77.3,126.4,74.5,4,0.9,46.3,175,Moderate,19,67.1,0.5
1173,19-06-2023,Kolkata,37.3,69.8,62,7.2,1.1,48.3,51,Satisfactory,37.5,78.7,6.3
1174,19-06-2023,Chennai,15.8,24,22.3,1.4,1.1,12.2,3,Good,22.7,91,3.8
1175,19-06-2023,Ahmedabad,18.6,24.2,20.6,12.7,1.34,19.5,38,Good,18.6,45.1,0.4
1176,19-06-2023,Chennai,7.9,13.3,25.7,19.6,0.37,44.8,7,Good,34.9,33.2,2.6
1177,19-06-2023,Chennai,28.8,52.6,17.9,4.6,0.65,15.3,24,Good,27.7,60,4.4
1178,19-06-2023,Pune,62.5,86.8,51.3,8.1,1.16,13.2,165,Moderate,37.3,33,4
1179,19-06-2023,Delhi,72.9,107.8,39.7,7.4,3.2,8.7,177,Moderate,29.1,45,3.3
1180,20-06-2023,Bengaluru,15.3,23.5,30.2,9.7,1.18,19.7,1,Good,30.2,31.8,0.4
1181,20-06-2023,Lucknow,36.1,59.8,14.6,1,3.52,31.9,55,Satisfactory,17.9,58.9,2.3
1182,20-06-2023,Kolkata,38.1,54.9,53.7,16.6,0.5,20.5,55,Satisfactory,31.8,26.2,2.2
1183,20-06-2023,Delhi,51.2,71.5,41.5,4.3,3.38,31.2,89,Satisfactory,26.6,56,6.9
1184,20-06-2023,Pune,27.2,44.4,33.2,2.2,0.69,31.9,49,Good,33.1,49.9,5.6
1185,21-06-2023,Ahmedabad,50,74.8,45.9,10.6,1.99,47.3,90,Satisfactory,24.4,85.6,3
1186,21-06-2023,Hyderabad,32.8,44.7,36.8,2.7,0.18,26.9,82,Satisfactory,24.5,23.9,0.2
1187,21-06-2023,Hyderabad,23.8,37.9,24.8,12.2,0.32,23.2,17,Good,30.5,92.6,5.3
1188,21-06-2023,Lucknow,64.9,123.2,16.4,19.4,0.58,133.9,151,Moderate,39.2,74.6,1.9
1189,21-06-2023,Mumbai,26.5,37.6,20,11.4,1.86,41.1,44,Good,19,81.3,1.5
1190,21-06-2023,Pune,34.9,59.4,52.7,21.7,0.12,40,65,Satisfactory,24.8,59.8,1.6
1191,21-06-2023,Delhi,74,134.7,29.2,9.1,2.06,11.8,191,Moderate,32.3,20.7,4.9
1192,22-06-2023,Hyderabad,36.7,47.8,52.9,9.3,2.41,38.1,90,Satisfactory,36.7,50.2,0.8
1193,22-06-2023,Hyderabad,22.6,36.6,30,7.1,1.43,37.1,46,Good,24.2,65.7,1
1194,22-06-2023,Hyderabad,23.8,42.9,55.7,1.8,1.33,19,27,Good,30.1,67.2,1.6
1195,22-06-2023,Mumbai,65.3,94.8,31.6,5.1,0.19,20.7,133,Moderate,19.3,32.9,1.9
1196,22-06-2023,Lucknow,29.4,47,28,5,0.61,30.5,2,Good,33.2,36.4,2.1
1197,22-06-2023,Mumbai,27.6,48.8,27.3,1.3,0.31,18.9,45,Good,22.6,34.3,5.7
1198,22-06-2023,Bengaluru,31.8,46.6,27.4,3.5,0.15,61.9,59,Satisfactory,23.6,61.8,1.1
1199,22-06-2023,Bengaluru,26.1,46.7,11.1,3.4,0.57,19.8,5,Good,28.6,65.3,4.8
1200,22-06-2023,Chennai,22.6,32.5,16.5,1.4,0.16,6.4,44,Good,24.7,23.3,2.6
1201,23-06-2023,Hyderabad,43.2,70.1,27.9,7.2,1.08,33.9,71,Satisfactory,23.5,49.1,2.8
1202,23-06-2023,Lucknow,51.7,91.4,26.5,3.7,0.16,14.3,59,Satisfactory,13.3,49.5,2.6
1203,23-06-2023,Pune,42.4,68.2,10.1,3,0.87,34.3,92,Satisfactory,36,77.6,6.1
1204,24-06-2023,Jaipur,31.6,44.8,20.8,17.6,0.72,32.2,99,Satisfactory,33.8,63.7,2.3
1205,24-06-2023,Mumbai,20.2,29.1,24.9,1.1,0.94,5,26,Good,27,65.6,3.5
1206,24-06-2023,Jaipur,40.8,67.5,51.2,16.7,0.79,41,62,Satisfactory,39.6,87.1,1.7
1207,24-06-2023,Kolkata,65.9,104.1,5.1,15.4,0.61,35.3,168,Moderate,37.5,86.3,2.6
1208,24-06-2023,Bengaluru,25.6,39.1,23.7,3,0.91,12.8,14,Good,28.1,20.9,3.9
1209,24-06-2023,Ahmedabad,41.6,57.3,7,3.9,0.22,18.8,77,Satisfactory,21.8,47.4,1
1210,24-06-2023,Hyderabad,13.5,20.1,21.8,5,1.58,44.6,5,Good,23.8,24.7,5.4
1211,25-06-2023,Kolkata,61.7,83.9,30.9,5.4,4.47,71.1,120,Moderate,24.8,72.4,2.1
1212,25-06-2023,Pune,26.3,38.7,18.8,4.7,1.37,34,42,Good,34.3,26.6,0.9
1213,25-06-2023,Delhi,22.3,36.1,2,8.6,2.78,50.6,36,Good,18.7,82.8,2.5
1214,25-06-2023,Mumbai,28.8,49,16.6,6.4,1.14,17.1,46,Good,22.4,60.8,2.5
1215,26-06-2023,Mumbai,24.6,32.7,27,3.2,3.41,35.1,9,Good,33.1,27.9,2.5
1216,26-06-2023,Chennai,40.5,65,13.9,2,0.14,42,76,Satisfactory,32.6,58.8,0.7
1217,26-06-2023,Ahmedabad,31.6,42.8,19.6,5.1,0.74,63.6,85,Satisfactory,30.3,54,2.2
1218,26-06-2023,Ahmedabad,40.6,53.8,19.4,4.2,1.06,27.8,84,Satisfactory,20.2,37,6.2
1219,26-06-2023,Delhi,22.4,37.1,20.2,12.6,2.44,33.1,6,Good,23.1,89.9,7
1220,26-06-2023,Kolkata,49.9,85.8,31.7,9.9,0.65,18.5,77,Satisfactory,24.9,57.7,8.1
1221,27-06-2023,Jaipur,55,82.3,42.9,12.6,2.13,72,57,Satisfactory,28.3,55.1,2.9
1222,27-06-2023,Bengaluru,35.7,60.6,27.8,5.2,0.3,34.2,97,Satisfactory,27.1,27.6,3.9
1223,27-06-2023,Pune,23.3,31,33.6,1,0.39,41.6,46,Good,24.6,57,4.3
1224,27-06-2023,Jaipur,43.6,59.7,12.8,18.1,0.69,23,95,Satisfactory,27.6,21.7,3.4
1225,27-06-2023,Chennai,7.8,13.8,4.7,12.5,1.3,20.1,9,Good,26.4,46.1,5.8
1226,27-06-2023,Hyderabad,72.4,95.7,12.5,8.6,1.02,22.3,104,Moderate,29.4,63,3.2
1227,27-06-2023,Ahmedabad,75.9,115.4,5.6,4.7,0.41,6.6,153,Moderate,26,39.8,1.9
1228,28-06-2023,Kolkata,18.4,29.6,26.6,18.3,2.46,27.4,11,Good,29.5,55.6,4.3
1229,28-06-2023,Pune,65.1,107,28.6,9.5,2.43,9.7,185,Moderate,20,62.4,1.1
1230,28-06-2023,Mumbai,41.8,68.8,18.4,11.1,0.45,32.6,74,Satisfactory,21.7,45.1,2.3
1231,28-06-2023,Ahmedabad,10.5,18.6,26.4,2.3,0.48,15.1,15,Good,28.9,65.3,3.5
1232,28-06-2023,Pune,21.4,37.1,15.6,2.2,1.21,34,33,Good,31.8,87.7,1.2
1233,29-06-2023,Ahmedabad,30.5,57.2,34.9,8.9,0.75,35.6,89,Satisfactory,26.5,64.4,5.2
1234,29-06-2023,Chennai,10.7,18.2,2.2,9.4,1.35,18.2,27,Good,39.9,67.1,5
1235,29-06-2023,Jaipur,37.7,54,49.9,9.1,1.12,33.3,89,Satisfactory,36,28.6,4.1
1236,30-06-2023,Bengaluru,49.4,89.1,25.6,5,0.1,61.8,82,Satisfactory,28.3,61.7,3.5
1237,30-06-2023,Ahmedabad,65.4,91.4,37.4,15.3,1.38,40.5,167,Moderate,17.6,69.1,0.3
1238,30-06-2023,Chennai,44.8,65,25.9,3.1,1.52,28.3,58,Satisfactory,20.6,62,0.5
1239,30-06-2023,Mumbai,44.7,65.7,19.9,6.3,0.6,42.7,93,Satisfactory,29.6,35.8,10.4
1240,1/7/2023,Lucknow,55.2,98.5,15,2.3,0.69,16.2,99,Satisfactory,24.4,60.4,2.9
1241,1/7/2023,Pune,12.7,19,29.4,11.7,2.25,21.6,14,Good,27.4,32.5,2.2
1242,1/7/2023,Chennai,46.4,65.8,10.7,1.4,1.19,38.3,93,Satisfactory,23.7,33.6,6.6
1243,1/7/2023,Kolkata,66.3,121.1,22.4,8.6,1.66,28.4,150,Moderate,45,45.2,6.8
1244,1/7/2023,Ahmedabad,16.6,29.8,31.6,20.4,0.35,54.6,21,Good,22.6,79.8,3.1
1245,1/7/2023,Kolkata,45.3,79.1,18.9,8.2,3.77,14.2,64,Satisfactory,26.9,33.3,2.3
1246,1/7/2023,Mumbai,48.4,87,37.8,20,1.22,21.4,71,Satisfactory,21.5,94.6,2.9
1247,1/7/2023,Mumbai,17.8,24.7,17.3,5.8,0.91,43.7,27,Good,25.3,92.5,1.6
1248,1/7/2023,Ahmedabad,35.9,53.2,15.2,4.2,0.46,6.6,63,Satisfactory,22.8,63.4,0.2
1249,2/7/2023,Bengaluru,16.5,24,9.1,3.2,0.67,53.8,33,Good,31.5,66.6,0.7
1250,2/7/2023,Lucknow,40.8,63,73.5,14.4,0.53,13,66,Satisfactory,18.3,26.2,3.6
1251,2/7/2023,Chennai,9.4,16.2,34.8,8.1,0.2,25.2,31,Good,31.8,94,2.9
1252,2/7/2023,Lucknow,77.2,112.8,44.8,3,1.24,19.7,123,Moderate,29.2,25,0.3
1253,2/7/2023,Chennai,23.2,37.1,10.2,16.3,1.4,43.6,40,Good,29.6,93.5,0.9
1254,2/7/2023,Hyderabad,30.3,45.8,22,2.2,0.78,29.4,55,Satisfactory,23.7,20.9,1.7
1255,2/7/2023,Mumbai,76.2,120.4,22.8,5,1.36,8,199,Moderate,27.2,39.5,1.9
1256,2/7/2023,Chennai,20.7,35.1,9.7,6.3,0.3,64.3,18,Good,30.2,29.4,0.4
1257,2/7/2023,Jaipur,22.8,41.6,23,1.7,2.21,25.1,37,Good,30.1,42.5,0.8
1258,2/7/2023,Kolkata,50.2,73.9,6.9,10.6,0.34,32.6,78,Satisfactory,19.7,91.5,3.3
1259,3/7/2023,Bengaluru,48.3,90.6,24.7,3.9,0.33,20.7,99,Satisfactory,15.1,82.6,1.3
1260,3/7/2023,Chennai,27.7,40.6,2,1,0.85,53.3,29,Good,35.6,49.2,3.8
1261,3/7/2023,Kolkata,55.7,81.1,39.1,7.2,0.6,41.9,82,Satisfactory,28.7,37.3,2.2
1262,3/7/2023,Pune,36.1,48.2,58,2.2,0.18,34.9,56,Satisfactory,36.7,84.6,2.8
1263,3/7/2023,Delhi,19.1,33.5,48.7,8.6,0.42,45.8,24,Good,22.5,29.6,1.1
1264,3/7/2023,Jaipur,60.8,86.1,35.2,14,1.02,15,186,Moderate,22.8,35.9,2.4
1265,4/7/2023,Chennai,12.1,20.8,18.7,2,0.71,35.6,35,Good,30.8,55.9,2.4
1266,4/7/2023,Jaipur,109.3,201,20.9,8.7,0.79,22.7,296,Poor,25.9,44.2,1.7
1267,4/7/2023,Kolkata,46.1,66,12.9,4.5,0.76,18.7,67,Satisfactory,25,93,0.9
1268,4/7/2023,Bengaluru,45.6,77.9,34.1,16.6,0.21,39.3,54,Satisfactory,40.4,83.5,1.5
1269,5/7/2023,Jaipur,38.4,64.1,21.5,11,2.65,18.9,72,Satisfactory,22.6,25.6,1.7
1270,5/7/2023,Kolkata,34.7,51.8,37.6,29.8,0.75,41.1,69,Satisfactory,28.8,46.6,4.9
1271,5/7/2023,Lucknow,80.8,148.1,7.8,12.2,2.43,25.7,113,Moderate,34.3,56.7,2.5
1272,6/7/2023,Jaipur,39.5,73.8,15.3,4.8,1.41,46.8,76,Satisfactory,28.3,33.8,3.4
1273,6/7/2023,Hyderabad,15,25.6,17.8,3.7,1.14,20,9,Good,21.6,65.2,2.2
1274,6/7/2023,Bengaluru,19.5,34.8,12.9,2.4,0.42,37.2,35,Good,37.7,49.9,0.7
1275,6/7/2023,Ahmedabad,55.5,89.7,16.4,1,1.41,31.5,73,Satisfactory,26.5,56.1,0.9
1276,6/7/2023,Lucknow,63.5,83.6,43,12.9,1.43,60.7,124,Moderate,16.9,30.4,5.2
1277,7/7/2023,Jaipur,100.7,179.9,34.4,3.7,1.88,61.2,206,Poor,21.5,36.8,2.1
1278,7/7/2023,Delhi,69.1,91.6,34.2,8.2,1.04,33.8,102,Moderate,22.9,21.4,3.3
1279,7/7/2023,Hyderabad,35.6,46.7,13.5,7.5,0.25,15.2,64,Satisfactory,29.3,54.7,1.5
1280,7/7/2023,Delhi,57,77.3,46,2.8,2.2,20,66,Satisfactory,31,89.3,0.7
1281,7/7/2023,Delhi,48.2,84.5,31.6,18,0.94,40.7,75,Satisfactory,31.5,48.1,1.4
1282,7/7/2023,Pune,50.6,85.1,14.9,1,0.8,38.4,59,Satisfactory,22.6,36.1,0.5
1283,7/7/2023,Lucknow,92,159.8,18.4,5,3,83.7,253,Poor,22.5,68.8,0.3
1284,7/7/2023,Pune,26.6,39.7,39.4,6.2,2.38,34.4,33,Good,28.3,84.7,1.3
1285,7/7/2023,Jaipur,53.8,84.1,7,9.3,0.48,16.4,76,Satisfactory,29.1,77.6,5.1
1286,7/7/2023,Pune,20.8,28.4,13.5,7.8,0.95,47.5,36,Good,20.9,42.9,4.2
1287,7/7/2023,Delhi,103.3,181.5,24.1,5.9,6.19,31.9,276,Poor,27.2,92.4,1.8
1288,8/7/2023,Lucknow,22.1,35.5,35.6,2.1,1.2,27.5,36,Good,26.8,42.9,4.3
1289,8/7/2023,Kolkata,68.4,114.7,15.4,12,1.25,40.8,175,Moderate,21.9,53.4,1.2
1290,8/7/2023,Pune,23.9,42,17.9,3.8,0.11,32.8,41,Good,30.9,31,4.2
1291,9/7/2023,Jaipur,31,49.6,31.4,17.3,0.7,30.5,91,Satisfactory,32.3,47.7,1.2
1292,9/7/2023,Ahmedabad,50.3,74.2,32.8,8.5,0.66,10,53,Satisfactory,24.4,44.6,5.3
1293,9/7/2023,Hyderabad,18.3,34,6.2,5.2,0.13,77.9,48,Good,35.4,65.4,1.4
1294,9/7/2023,Pune,52.6,87.2,8.9,11,1.1,20.6,92,Satisfactory,31.9,85,1.1
1295,9/7/2023,Kolkata,57.7,87.4,14.7,3.1,0.38,68.4,66,Satisfactory,23.7,93.6,4.7
1296,9/7/2023,Kolkata,22.3,36.5,13.6,6.1,0.22,12.3,33,Good,32.2,64.4,3.3
1297,9/7/2023,Jaipur,46.5,61.2,11.5,3.9,0.55,47.1,85,Satisfactory,16.1,53.5,2.5
1298,9/7/2023,Chennai,26,46.4,24.7,8.5,1.36,40.6,30,Good,26.2,54.7,5.5
1299,9/7/2023,Kolkata,24.4,46,8.5,14.1,0.95,34,28,Good,37.8,57.5,1.1
1300,10/7/2023,Jaipur,36.3,68.8,37.6,9.8,2.57,71.9,83,Satisfactory,30.6,30.1,3.1
1301,10/7/2023,Kolkata,22.8,41,43.9,13.5,0.29,24.2,34,Good,39.8,33.6,1.4
1302,10/7/2023,Mumbai,20.1,37.7,9.9,9.8,1.22,15.1,2,Good,26.3,74.3,3.1
1303,10/7/2023,Ahmedabad,20.5,33.4,66,9.4,0.78,31.1,3,Good,17.9,44.5,3.9
1304,10/7/2023,Jaipur,33.3,45.4,27.5,13,0.25,30,68,Satisfactory,27.9,46.5,1.5
1305,10/7/2023,Pune,15.3,23.5,37,9.7,0.1,16.3,39,Good,23.2,59.2,7.7
1306,10/7/2023,Chennai,35.5,55,24.9,7.2,0.2,109.9,69,Satisfactory,27.2,39.9,2.3
1307,11/7/2023,Ahmedabad,25.8,35.3,28.7,13.5,2.1,25.6,19,Good,34.1,66.3,0.9
1308,11/7/2023,Jaipur,40.1,57.2,20.5,9,1.44,49.7,51,Satisfactory,40.4,70.3,6.9
1309,11/7/2023,Jaipur,14.6,25.8,25.2,20,0.74,36.4,28,Good,24.8,54.4,7.8
1310,11/7/2023,Jaipur,64.1,102.3,43.5,10.3,0.46,13.2,118,Moderate,28.3,63.9,3.8
1311,11/7/2023,Ahmedabad,39.1,70,27.7,11.1,0.62,59.4,51,Satisfactory,27.3,21.9,1.6
1312,11/7/2023,Delhi,27.3,48.5,72.9,12.7,3.01,17.4,26,Good,31.5,25,1.3
1313,11/7/2023,Lucknow,61.4,94.8,8.4,22.7,1.94,34.5,134,Moderate,23.2,89.1,2
1314,11/7/2023,Delhi,103.5,171.5,44.4,8.2,0.65,54.7,246,Poor,35.5,58.6,5.4
1315,12/7/2023,Chennai,25.1,44.9,15.9,9.5,0.52,23,48,Good,21.2,56.1,2.2
1316,12/7/2023,Ahmedabad,28.9,53.4,36.4,7.6,0.46,60.6,28,Good,42.6,34.8,0.2
1317,12/7/2023,Lucknow,143.1,188.3,27,60.2,0.43,113.2,326,Very Poor,27.3,58.1,3.8
1318,12/7/2023,Hyderabad,33.3,59.4,20.8,7.2,1.05,39.4,92,Satisfactory,27.6,67.3,5.3
1319,12/7/2023,Lucknow,47.2,73.1,36.3,21.1,1.85,59,91,Satisfactory,31.5,54,2.4
1320,12/7/2023,Delhi,80.1,111.2,40.3,7,0.97,8.6,180,Moderate,36.5,25.4,0.9
1321,13-07-2023,Ahmedabad,34.7,57.5,10.6,17,0.39,36,70,Satisfactory,29.6,77.4,1.8
1322,13-07-2023,Mumbai,44.7,58.3,13.9,9.1,0.2,62.2,76,Satisfactory,26.4,94,1.4
1323,13-07-2023,Hyderabad,35.6,59.7,30.1,8.5,0.71,11.4,57,Satisfactory,34.6,21.5,2.4
1324,13-07-2023,Chennai,60.5,83.5,15.3,20.8,0.44,31.9,118,Moderate,22,32.4,0.2
1325,13-07-2023,Jaipur,75.7,110.2,70.6,16,0.26,40.6,106,Moderate,36.1,64.1,2.3
1326,13-07-2023,Bengaluru,8.7,14.2,12.8,11.4,1.26,20,37,Good,25.6,33.8,2.8
1327,13-07-2023,Bengaluru,50.7,86.6,12.9,5.3,0.45,83.5,51,Satisfactory,27.7,70.9,2.2
1328,13-07-2023,Delhi,99.6,147.4,13.8,11.6,1.07,33.5,262,Poor,20.6,74.8,2.3
1329,13-07-2023,Hyderabad,27.4,51.3,4.1,6.6,0.73,15,22,Good,36.7,30.2,2
1330,14-07-2023,Hyderabad,61.5,94.1,33.4,13.1,0.9,36.1,108,Moderate,26.8,47.2,2.5
1331,14-07-2023,Kolkata,18.8,29.6,32.1,1,0.44,20.9,29,Good,35.9,44.8,3.5
1332,14-07-2023,Hyderabad,57,90,20.3,6.1,1.35,59.7,70,Satisfactory,27.2,46.6,1.3
1333,14-07-2023,Lucknow,29,51.8,29.8,2.2,1.4,17.4,44,Good,32.9,93.7,3.4
1334,14-07-2023,Pune,5,8.2,24.6,1.7,0.34,47.3,34,Good,27.4,81.7,2
1335,14-07-2023,Hyderabad,33.9,49.8,10.5,13.3,3.21,46.1,87,Satisfactory,21.7,41,1.7
1336,14-07-2023,Chennai,33.3,63.1,14.6,2.9,0.83,68.4,67,Satisfactory,25.4,94,3.8
1337,14-07-2023,Chennai,19.2,25.6,21.6,4.9,1.44,28.5,10,Good,28.2,37,4.6
1338,15-07-2023,Hyderabad,62.3,117.8,29.2,13.8,0.74,40.6,114,Moderate,29.2,22.5,1.6
1339,15-07-2023,Chennai,33.1,45.4,12.7,7.4,0.52,31.6,92,Satisfactory,33.2,51.6,0.6
1340,15-07-2023,Bengaluru,26.9,46.8,13.6,1.5,1.17,43.9,16,Good,20.9,56,3.5
1341,15-07-2023,Chennai,41.7,60.3,15.1,3.7,0.56,29.9,65,Satisfactory,27.7,89.5,0.8
1342,15-07-2023,Jaipur,25.7,47.6,61.3,29.3,0.51,41.1,21,Good,26.4,56.6,0.9
1343,15-07-2023,Bengaluru,57.8,77.2,26.2,1.1,0.48,16.5,95,Satisfactory,27.5,48.1,10.9
1344,15-07-2023,Bengaluru,21.9,30.4,24,5.4,0.21,34.2,5,Good,35.9,44.7,2.2
1345,15-07-2023,Pune,41.1,70.8,3.8,8.4,1.81,8,55,Satisfactory,19.9,94,3
1346,15-07-2023,Jaipur,35.4,52.8,11.9,2,1.09,39.5,92,Satisfactory,26.3,75.2,1.5
1347,16-07-2023,Lucknow,45.5,63.7,13.5,20.3,0.51,47.7,62,Satisfactory,21.2,73.2,6.1
1348,17-07-2023,Pune,24.8,46,40.1,4.7,0.78,47.3,25,Good,40.5,40,7.2
1349,17-07-2023,Chennai,31.2,47.8,43.1,7.6,0.81,12.9,93,Satisfactory,22.8,63.7,1.6
1350,17-07-2023,Ahmedabad,43.8,73.9,66.7,7.9,0.72,64.7,65,Satisfactory,30.4,68.2,1
1351,17-07-2023,Mumbai,19.2,32.2,18.4,7.1,0.79,29.5,48,Good,30.4,49.4,6.2
1352,17-07-2023,Lucknow,49,67.8,13.5,13.3,2.04,28.7,55,Satisfactory,31.6,45,3.1
1353,17-07-2023,Mumbai,65.7,123,27,1,0.1,71.1,104,Moderate,17.7,28.7,3.9
1354,17-07-2023,Lucknow,69.6,105.1,15.4,2.7,1.43,14.9,113,Moderate,21.7,60.9,2
1355,18-07-2023,Hyderabad,67.7,119.4,10.4,20.2,1.19,10.1,111,Moderate,27.7,88.8,1.1
1356,18-07-2023,Mumbai,78,137.5,13.7,7.8,1.4,19.2,192,Moderate,29.8,76.5,3.3
1357,18-07-2023,Mumbai,69,120.7,50.6,5.8,0.67,35.6,164,Moderate,23.2,39.9,5.1
1358,18-07-2023,Kolkata,51.5,87.8,32.4,1.9,0.35,21.2,75,Satisfactory,22.6,33.8,0.6
1359,18-07-2023,Hyderabad,15.6,25.5,36.9,5.2,0.99,18.1,22,Good,42.3,46,5.3
1360,19-07-2023,Lucknow,51.4,78.8,34.8,11.1,5.1,6.7,51,Satisfactory,29.8,78,0.8
1361,19-07-2023,Lucknow,73.2,131.9,33.6,10.6,0.21,11.2,107,Moderate,29.9,82.3,4.7
1362,19-07-2023,Lucknow,40.3,55.8,45.1,1,0.61,29.6,52,Satisfactory,26,58.9,1.7
1363,20-07-2023,Chennai,6.3,8.3,15.2,6.8,0.2,17.6,9,Good,34.2,44.9,2.1
1364,20-07-2023,Lucknow,30.4,46.7,33.1,5.1,1.08,19.4,62,Satisfactory,19.1,65.3,1.5
1365,20-07-2023,Bengaluru,33.5,59.4,22.4,2.2,1.47,34.1,99,Satisfactory,35.4,45.4,5.4
1366,20-07-2023,Hyderabad,28,47.1,16.1,3.1,0.38,33.5,4,Good,24,57.2,3.4
1367,20-07-2023,Delhi,89.1,167.4,61.6,18.7,2.07,51.9,120,Moderate,39,59.8,1.3
1368,20-07-2023,Bengaluru,52.2,81.9,38,3.6,0.51,100.1,77,Satisfactory,26.1,49.6,5.9
1369,20-07-2023,Delhi,71.3,117.5,27.9,3.9,1.19,27.1,127,Moderate,22.2,42.1,4.1
1370,20-07-2023,Lucknow,40.3,58,26.4,2.9,1.44,20.8,89,Satisfactory,19.1,87.5,3.6
1371,20-07-2023,Bengaluru,22.8,38,25.9,4.7,1.05,30,31,Good,26.6,72.3,0.6
1372,20-07-2023,Jaipur,31,52.7,25.2,12.3,1.91,84.4,86,Satisfactory,36.9,60.8,4.8
1373,21-07-2023,Hyderabad,20.3,34.4,29.9,1.6,1.09,51.2,21,Good,33,54.3,1.1
1374,21-07-2023,Hyderabad,51.4,89.3,14.3,10.6,2.21,86.6,55,Satisfactory,24.9,59.7,3
1375,21-07-2023,Ahmedabad,34.4,47.4,80.9,5.9,1.09,49.6,95,Satisfactory,33.5,23.9,9.2
1376,21-07-2023,Pune,32.9,59.3,25.8,9.1,3.21,22,87,Satisfactory,19.7,78.5,0.6
1377,21-07-2023,Hyderabad,96,179.5,17.6,8.8,0.62,25,218,Poor,25.2,46.1,0.2
1378,21-07-2023,Kolkata,45.6,74.4,31.1,1.3,0.19,70.2,53,Satisfactory,29.3,71.2,0.8
1379,21-07-2023,Lucknow,112.8,178.9,65.8,4.8,1.44,27.5,273,Poor,21.5,59.7,0.3
1380,21-07-2023,Chennai,16.4,27.9,37.5,1.2,1.51,32.3,46,Good,23.7,75.6,2.7
1381,22-07-2023,Lucknow,83.2,116.5,49.8,10.4,1.18,39,122,Moderate,25.9,46,1.9
1382,22-07-2023,Lucknow,21.1,37.3,27.6,15,1.15,32.1,16,Good,24,83.2,0.9
1383,22-07-2023,Hyderabad,18.5,32.6,14.4,14.4,0.3,26.8,24,Good,22.4,25.5,5.8
1384,22-07-2023,Delhi,45.6,60.4,72.8,35.8,2.74,45,62,Satisfactory,30.4,41.7,5.4
1385,22-07-2023,Mumbai,35.1,46.2,41.6,15.9,0.61,23.3,54,Satisfactory,21.9,74.8,3.3
1386,22-07-2023,Hyderabad,29.8,48.2,8.5,1.6,0.43,40.8,0,Good,28,43.5,4.3
1387,23-07-2023,Hyderabad,42.9,77.3,9,8.7,0.52,9,85,Satisfactory,25.9,31.7,1.2
1388,23-07-2023,Jaipur,14.6,20.5,60.7,8.6,1.69,39.9,25,Good,20.9,57.2,1.7
1389,23-07-2023,Lucknow,35.1,58.3,21.3,5.6,0.56,35.5,80,Satisfactory,35.6,93.2,0.9
1390,23-07-2023,Mumbai,39.9,60.9,18.6,1,1.09,31.7,86,Satisfactory,28.5,58.1,0.3
1391,23-07-2023,Kolkata,36.3,66.4,12,7.4,1.71,36.5,81,Satisfactory,25.1,41.6,1
1392,23-07-2023,Jaipur,43.9,75.1,29.7,4.7,1.19,62.9,52,Satisfactory,36.7,39.1,2.8
1393,24-07-2023,Lucknow,7.2,10.3,33.1,9.1,1,39.3,18,Good,28.2,49.6,3.4
1394,24-07-2023,Ahmedabad,36.5,58.1,30.7,12.2,1.43,25.7,54,Satisfactory,20,53.7,1.2
1395,24-07-2023,Lucknow,72.6,105,79.2,10,1.37,33.2,134,Moderate,34.3,68,3.1
1396,24-07-2023,Pune,57.8,104.8,5.6,1,1.78,40.9,66,Satisfactory,23.8,65,3.5
1397,24-07-2023,Pune,48,65.8,3.9,5.8,0.91,27.8,97,Satisfactory,26.8,32.1,0.4
1398,24-07-2023,Kolkata,65,87.6,44.2,5.4,2.82,23.7,138,Moderate,20.3,31,1.1
1399,25-07-2023,Mumbai,50.1,73.7,3.6,5.5,0.43,54.4,93,Satisfactory,31.2,62,2.7
1400,25-07-2023,Kolkata,71.1,97.6,13.3,24.4,2.37,33.4,109,Moderate,30.3,90.2,2.7
1401,25-07-2023,Ahmedabad,114.4,203.1,4.9,1.3,0.61,6.7,276,Poor,30,37.7,1.6
