Country,Region,Year,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Choices,Generosity,Perceptions of Corruption
New Zealand,Oceania,2017,6.226,1.572,1.345,1.11,0.53,0.353,0.324
Norway,Europe,2026,7.65,1.754,1.581,1.331,0.31,0.219,0.137
Australia,Oceania,2016,4.527,1.113,1.205,0.811,0.772,0.59,0.01
Netherlands,Europe,2025,4.214,0.987,0.979,0.919,0.307,0.353,0.251
Sweden,Europe,2019,3.403,0.969,0.917,0.744,0.865,0.494,0.021
New Zealand,Oceania,2026,3.259,0.857,0.931,0.711,0.767,0.431,0.248
Austria,Europe,2024,5.804,1.339,1.326,1.131,0.651,0.598,0.228
Iceland,Europe,2020,6.203,1.662,1.43,1.063,0.873,0.401,0.03
Australia,Oceania,2021,4.52,1.214,1.059,0.974,0.824,0.215,0.023
India,South Asia,2026,7.374,1.877,1.466,1.406,0.455,0.435,0.454
India,South Asia,2025,7.36,1.746,1.718,1.26,0.872,0.032,0.355
Luxembourg,Europe,2015,5.294,1.271,1.265,0.932,0.632,0.152,0.478
Norway,Europe,2024,3.959,0.981,0.937,0.74,0.595,0.523,0.356
Canada,North America,2020,3.427,0.977,0.767,0.771,0.45,0.25,0.175
Austria,Europe,2016,5.715,1.343,1.34,1.138,0.561,0.293,0.464
Iceland,Europe,2022,3.966,0.994,1.043,0.789,0.49,0.374,0.326
Norway,Europe,2024,3.752,1.061,0.955,0.674,0.766,0.23,0.165
New Zealand,Oceania,2026,4.662,1.16,1.182,0.824,0.882,0.333,0.091
Switzerland,Europe,2024,5.839,1.493,1.167,1.024,0.777,0.03,0.428
Norway,Europe,2019,7.138,1.844,1.443,1.197,0.885,0.521,0.447
Sweden,Europe,2022,5.6,1.444,1.272,0.95,0.747,0.303,0.324
Luxembourg,Europe,2021,5.361,1.272,1.149,0.936,0.417,0.584,0.077
Germany,Europe,2022,5.835,1.486,1.196,1.134,0.771,0.142,0.144
Iceland,Europe,2018,6.963,1.756,1.378,1.228,0.636,0.112,0.224
Austria,Europe,2018,4.571,1.251,1.175,0.85,0.803,0.062,0.419
Australia,Oceania,2025,3.398,0.958,0.853,0.791,0.518,0.172,0.25
Iceland,Europe,2025,4.653,1.247,1.165,0.969,0.884,0.16,0.358
New Zealand,Oceania,2024,6.25,1.544,1.523,1.183,0.871,0.501,0.451
Denmark,Europe,2022,4.294,1.031,1.047,0.778,0.555,0.277,0.01
Sweden,Europe,2022,5.497,1.433,1.372,0.96,0.362,0.031,0.218
New Zealand,Oceania,2017,3.635,1.028,0.885,0.704,0.33,0.292,0.178
Finland,Europe,2024,6.334,1.636,1.314,1.06,0.809,0.006,0.469
Canada,North America,2016,4.545,1.111,0.921,0.829,0.383,0.367,0.083
Canada,North America,2023,5.22,1.349,1.277,0.926,0.34,0.319,0.031
Luxembourg,Europe,2023,6.452,1.69,1.453,1.081,0.452,0.485,0.084
India,South Asia,2020,6.105,1.517,1.385,1.125,0.744,0.424,0.267
Australia,Oceania,2019,7.193,1.741,1.519,1.332,0.65,0.043,0.446
Norway,Europe,2017,6.592,1.69,1.573,1.1,0.658,0.257,0.165
Denmark,Europe,2017,5.701,1.424,1.157,1.078,0.743,0.46,0.453
India,South Asia,2025,7.575,1.933,1.552,1.268,0.561,0.241,0.288
Australia,Oceania,2017,6.6,1.629,1.319,1.262,0.486,0.583,0.059
India,South Asia,2016,3.437,0.864,0.733,0.757,0.81,0.26,0.464
Austria,Europe,2020,7.058,1.677,1.477,1.34,0.841,0.586,0.451
Iceland,Europe,2019,3.882,0.999,1.067,0.684,0.707,0.286,0.081
Norway,Europe,2025,4.08,1.167,0.979,0.825,0.656,0.384,0.248
Norway,Europe,2016,5.629,1.441,1.141,1.039,0.416,0.125,0.331
India,South Asia,2017,7.432,1.789,1.727,1.22,0.484,0.4,0.445
Australia,Oceania,2017,7.466,1.841,1.684,1.299,0.427,0.547,0.467
Iceland,Europe,2020,3.031,0.744,0.818,0.559,0.538,0.182,0.357
Germany,Europe,2023,5.519,1.403,1.316,0.972,0.521,0.218,0.48
Norway,Europe,2026,6.624,1.695,1.372,1.208,0.837,0.285,0.473
Norway,Europe,2023,3.356,1.011,0.958,0.802,0.708,0.562,0.413
Sweden,Europe,2024,5.384,1.385,1.123,1.016,0.465,0.438,0.416
Austria,Europe,2020,6.505,1.609,1.485,1.16,0.691,0.155,0.035
Sweden,Europe,2018,5.217,1.262,1.257,0.897,0.434,0.449,0.219
Germany,Europe,2020,3.903,0.98,0.945,0.876,0.448,0.439,0.22
Denmark,Europe,2021,5.188,1.209,1.274,0.927,0.735,0.041,0.478
Netherlands,Europe,2015,6.885,1.807,1.483,1.278,0.522,0.111,0.222
Finland,Europe,2021,7.714,1.771,1.665,1.382,0.623,0.397,0.058
Australia,Oceania,2016,6.599,1.536,1.557,1.138,0.512,0.57,0.289
United States,North America,2015,4.58,1.081,1.223,0.841,0.811,0.099,0.366
India,South Asia,2022,7.708,1.884,1.495,1.377,0.387,0.479,0.428
Australia,Oceania,2022,3.697,0.986,0.884,0.777,0.327,0.451,0.04
Switzerland,Europe,2018,3.089,0.937,0.708,0.666,0.457,0.434,0.161
Canada,North America,2019,4.367,1.199,0.895,0.812,0.599,0.027,0.093
Netherlands,Europe,2016,7.689,1.926,1.56,1.305,0.687,0.071,0.474
Australia,Oceania,2018,7.798,1.89,1.735,1.27,0.833,0.162,0.334
Canada,North America,2024,5.124,1.301,1.116,0.965,0.491,0.216,0.335
United States,North America,2015,4.115,1.18,1.1,0.819,0.56,0.226,0.354
Netherlands,Europe,2025,3.942,1.085,0.885,0.695,0.72,0.387,0.205
Austria,Europe,2025,5.857,1.503,1.173,1.012,0.481,0.324,0.388
Austria,Europe,2018,4.711,1.15,1.024,0.996,0.681,0.094,0.361
Austria,Europe,2025,5.371,1.246,1.353,0.931,0.718,0.304,0.013
Canada,North America,2023,7.089,1.741,1.445,1.188,0.518,0.153,0.253
India,South Asia,2019,5.721,1.408,1.361,0.966,0.541,0.479,0.261
United States,North America,2019,3.466,0.846,0.927,0.755,0.887,0.427,0.247
Australia,Oceania,2016,6.809,1.618,1.493,1.263,0.381,0.488,0.303
Luxembourg,Europe,2022,4.63,1.096,1.085,0.812,0.882,0.023,0.377
Denmark,Europe,2026,3.316,0.935,0.872,0.654,0.846,0.182,0.225
Switzerland,Europe,2026,3.481,1.049,0.839,0.638,0.532,0.36,0.257
Switzerland,Europe,2020,3.266,0.84,0.934,0.606,0.813,0.055,0.417
Luxembourg,Europe,2023,5.939,1.395,1.189,1.034,0.377,0.187,0.257
Austria,Europe,2025,6.791,1.708,1.505,1.201,0.584,0.249,0.421
Sweden,Europe,2021,3.027,0.879,0.706,0.732,0.815,0.046,0.053
Germany,Europe,2015,5.924,1.422,1.381,1.108,0.495,0.015,0.375
Denmark,Europe,2025,7.005,1.696,1.534,1.325,0.818,0.223,0.104
Canada,North America,2025,3.922,1.139,0.865,0.693,0.312,0.373,0.331
Sweden,Europe,2026,4.536,1.133,1.121,0.792,0.857,0.134,0.5
United States,North America,2016,6.703,1.581,1.331,1.281,0.815,0.242,0.351
Iceland,Europe,2016,6.173,1.507,1.434,1.205,0.856,0.227,0.087
United States,North America,2024,3.444,0.988,0.762,0.695,0.547,0.095,0.461
Luxembourg,Europe,2026,7.29,1.875,1.507,1.334,0.452,0.455,0.281
Canada,North America,2017,4.921,1.305,1.258,0.864,0.643,0.152,0.401
Australia,Oceania,2021,6.307,1.481,1.414,1.213,0.753,0.452,0.259
Norway,Europe,2021,5.823,1.56,1.312,1.075,0.433,0.327,0.07
Switzerland,Europe,2019,6.244,1.672,1.252,1.085,0.826,0.237,0.233
Sweden,Europe,2015,5.505,1.309,1.358,0.932,0.837,0.03,0.333
Germany,Europe,2015,6.39,1.464,1.503,1.152,0.356,0.424,0.245
Sweden,Europe,2026,3.075,0.831,0.679,0.58,0.46,0.378,0.265
Australia,Oceania,2019,7.648,1.954,1.554,1.272,0.865,0.277,0.156
Finland,Europe,2024,6.709,1.568,1.538,1.256,0.624,0.52,0.066
Austria,Europe,2020,5.157,1.29,1.104,0.948,0.365,0.151,0.136
India,South Asia,2018,3.16,0.768,0.684,0.641,0.606,0.319,0.134
Germany,Europe,2025,4.768,1.11,1.048,0.921,0.545,0.164,0.066
India,South Asia,2016,7.781,1.844,1.615,1.391,0.731,0.235,0.452
Switzerland,Europe,2017,5.162,1.347,1.315,1.033,0.324,0.199,0.235
Luxembourg,Europe,2023,6.361,1.656,1.464,1.252,0.464,0.525,0.383
India,South Asia,2024,6.524,1.511,1.511,1.185,0.475,0.393,0.321
Finland,Europe,2019,3.146,0.851,0.837,0.747,0.857,0.317,0.377
Luxembourg,Europe,2015,6.581,1.549,1.396,1.214,0.311,0.433,0.418
Germany,Europe,2018,5.15,1.396,1.26,0.93,0.494,0.407,0.282
Netherlands,Europe,2019,4.488,1.262,1.114,0.97,0.76,0.565,0.108
Sweden,Europe,2026,6.22,1.536,1.324,1.205,0.813,0.013,0.305
India,South Asia,2021,4.995,1.357,1.092,1.038,0.408,0.398,0.336
India,South Asia,2024,7.331,1.666,1.569,1.27,0.648,0.135,0.032
India,South Asia,2023,5.988,1.42,1.279,1.111,0.656,0.223,0.14
India,South Asia,2024,4.562,1.103,1.111,0.898,0.53,0.195,0.119
Norway,Europe,2018,6.291,1.62,1.483,1.114,0.338,0.374,0.094
Netherlands,Europe,2019,4.57,1.177,1.205,0.831,0.534,0.364,0.378
India,South Asia,2021,5.1,1.236,1.054,1.047,0.899,0.108,0.019
Netherlands,Europe,2016,7.007,1.665,1.378,1.162,0.556,0.559,0.143
Austria,Europe,2024,6.671,1.746,1.425,1.185,0.722,0.566,0.134
Australia,Oceania,2016,5.927,1.381,1.355,1.026,0.606,0.317,0.438
Switzerland,Europe,2019,3.093,0.856,0.833,0.633,0.701,0.137,0.159
Netherlands,Europe,2019,4.671,1.164,1.119,0.995,0.89,0.348,0.001
Finland,Europe,2018,4.757,1.304,1.076,0.82,0.793,0.328,0.169
Sweden,Europe,2021,3.999,1.011,1.011,0.876,0.62,0.455,0.382
Sweden,Europe,2017,3.666,0.932,0.844,0.771,0.79,0.457,0.131
United States,North America,2020,7.636,1.732,1.738,1.285,0.868,0.205,0.22
Switzerland,Europe,2015,5.821,1.41,1.314,1.119,0.325,0.007,0.229
Sweden,Europe,2018,6.189,1.465,1.344,1.068,0.629,0.07,0.012
New Zealand,Oceania,2024,7.58,1.753,1.677,1.251,0.365,0.305,0.232
Australia,Oceania,2016,7.535,1.903,1.637,1.321,0.514,0.568,0.301
India,South Asia,2020,4.113,0.967,1.124,0.78,0.566,0.069,0.418
Switzerland,Europe,2016,4.257,1.159,1.143,0.807,0.602,0.278,0.079
India,South Asia,2025,6.566,1.724,1.537,1.187,0.731,0.48,0.247
Switzerland,Europe,2025,5.102,1.383,1.197,1.01,0.411,0.579,0.202
Luxembourg,Europe,2018,3.091,0.762,0.891,0.757,0.492,0.022,0.18
India,South Asia,2022,3.923,1.101,1.087,0.706,0.635,0.152,0.07
Denmark,Europe,2026,5.773,1.336,1.269,0.993,0.464,0.114,0.441
Iceland,Europe,2018,7.169,1.723,1.484,1.251,0.311,0.435,0.175
New Zealand,Oceania,2020,6.924,1.821,1.468,1.141,0.402,0.392,0.306
Sweden,Europe,2016,4.219,1.169,1.066,0.797,0.627,0.088,0.226
New Zealand,Oceania,2024,5.022,1.365,1.181,0.892,0.649,0.304,0.199
Iceland,Europe,2026,3.478,1.021,0.929,0.639,0.71,0.348,0.297
Netherlands,Europe,2018,4.279,1.182,0.947,0.831,0.717,0.048,0.297
Australia,Oceania,2020,3.037,0.837,0.705,0.681,0.888,0.279,0.409
India,South Asia,2015,5.046,1.243,1.278,0.877,0.37,0.18,0.48
United States,North America,2021,5.66,1.472,1.244,1.101,0.536,0.496,0.134
Sweden,Europe,2015,5.507,1.369,1.286,0.999,0.438,0.282,0.28
Iceland,Europe,2024,5.672,1.378,1.239,1.007,0.859,0.41,0.131
Norway,Europe,2015,7.116,1.63,1.446,1.367,0.56,0.422,0.091
Sweden,Europe,2018,6.761,1.681,1.352,1.198,0.458,0.043,0.271
Switzerland,Europe,2019,6.243,1.486,1.396,1.225,0.734,0.414,0.484
Australia,Oceania,2025,5.621,1.423,1.128,1.023,0.462,0.6,0.154
Iceland,Europe,2021,6.246,1.509,1.387,1.205,0.83,0.096,0.17
Sweden,Europe,2018,3.202,0.904,0.933,0.657,0.744,0.377,0.188
Canada,North America,2024,6.405,1.673,1.459,1.064,0.43,0.042,0.285
United States,North America,2016,3.531,1.036,0.902,0.768,0.883,0.05,0.451
Canada,North America,2018,4.886,1.338,1.251,0.934,0.656,0.425,0.416
Sweden,Europe,2015,6.888,1.686,1.475,1.218,0.606,0.567,0.274
Sweden,Europe,2019,3.865,1.081,1.039,0.816,0.664,0.339,0.43
Iceland,Europe,2024,3.587,1.051,0.87,0.689,0.822,0.259,0.404
Switzerland,Europe,2026,5.851,1.384,1.42,1.139,0.612,0.435,0.183
Switzerland,Europe,2024,7.341,1.697,1.706,1.315,0.483,0.297,0.251
Sweden,Europe,2022,4.706,1.27,1.1,0.855,0.501,0.518,0.263
Canada,North America,2020,7.615,1.806,1.615,1.405,0.755,0.159,0.076
Sweden,Europe,2017,7.429,1.717,1.533,1.225,0.722,0.535,0.318
Norway,Europe,2020,3.617,0.868,1.003,0.814,0.799,0.479,0.181
Luxembourg,Europe,2022,7.458,1.768,1.562,1.359,0.476,0.491,0.035
India,South Asia,2022,5.889,1.489,1.298,1.039,0.578,0.27,0.292
Austria,Europe,2024,3.372,0.828,0.917,0.61,0.814,0.417,0.384
Finland,Europe,2024,3.589,1.045,0.897,0.815,0.832,0.015,0.191
Iceland,Europe,2019,6.256,1.498,1.302,1.115,0.601,0.571,0.381
Denmark,Europe,2024,3.261,0.81,0.824,0.752,0.528,0.323,0.446
New Zealand,Oceania,2023,4.036,0.949,0.918,0.845,0.871,0.046,0.014
Australia,Oceania,2023,4.118,1.182,0.852,0.762,0.486,0.37,0.267
Canada,North America,2023,3.788,0.943,0.933,0.722,0.869,0.278,0.029
New Zealand,Oceania,2021,4.578,1.221,1.008,0.901,0.763,0.557,0.131
Canada,North America,2021,5.228,1.432,1.312,0.902,0.379,0.297,0.053
India,South Asia,2026,4.597,1.157,1.106,0.804,0.454,0.118,0.008
United States,North America,2026,5.693,1.398,1.205,1.084,0.381,0.311,0.384
Austria,Europe,2025,6.616,1.696,1.309,1.096,0.884,0.116,0.411
Austria,Europe,2016,4.269,1.022,1.018,0.822,0.719,0.543,0.403
Iceland,Europe,2015,6.093,1.569,1.285,1.078,0.563,0.184,0.492
Luxembourg,Europe,2018,3.79,0.885,0.795,0.717,0.369,0.32,0.429
Netherlands,Europe,2021,4.035,1.038,0.979,0.867,0.803,0.546,0.255
Norway,Europe,2026,6.92,1.789,1.537,1.227,0.697,0.424,0.447
Finland,Europe,2018,5.469,1.453,1.374,0.951,0.311,0.521,0.098
Netherlands,Europe,2022,7.118,1.786,1.47,1.28,0.729,0.437,0.333
Germany,Europe,2021,7.177,1.774,1.521,1.305,0.791,0.003,0.496
Australia,Oceania,2022,5.257,1.425,1.114,0.984,0.38,0.237,0.089
Sweden,Europe,2020,6.203,1.639,1.39,1.136,0.396,0.429,0.351
Australia,Oceania,2018,4.441,1.216,1.03,0.878,0.79,0.133,0.171
Iceland,Europe,2022,3.444,0.915,0.896,0.798,0.413,0.484,0.065
Sweden,Europe,2024,4.168,1.186,0.91,0.883,0.577,0.599,0.42
Sweden,Europe,2023,5.826,1.526,1.177,1.008,0.307,0.356,0.443
India,South Asia,2024,3.303,1.002,0.939,0.658,0.884,0.173,0.445
Iceland,Europe,2023,5.705,1.335,1.286,1.027,0.775,0.455,0.455
Denmark,Europe,2024,6.884,1.799,1.576,1.159,0.349,0.013,0.314
Iceland,Europe,2015,5.181,1.308,1.173,0.884,0.445,0.093,0.443
Denmark,Europe,2015,7.11,1.737,1.445,1.2,0.3,0.431,0.056
Iceland,Europe,2015,4.43,1.165,1.017,0.899,0.333,0.074,0.25
Netherlands,Europe,2026,4.42,1.039,1.164,0.901,0.373,0.039,0.487
Austria,Europe,2019,6.368,1.64,1.48,1.151,0.558,0.007,0.463
Australia,Oceania,2016,3.975,1.154,1.09,0.894,0.824,0.599,0.122
United States,North America,2022,6.951,1.637,1.381,1.338,0.478,0.523,0.002
India,South Asia,2019,5.236,1.262,1.249,0.999,0.346,0.098,0.194
Iceland,Europe,2018,5.486,1.433,1.355,1.106,0.467,0.113,0.131
Iceland,Europe,2017,6.966,1.666,1.436,1.255,0.733,0.596,0.066
Netherlands,Europe,2019,6.995,1.8,1.563,1.34,0.607,0.548,0.484
Australia,Oceania,2024,4.487,1.086,1.072,0.864,0.827,0.06,0.129
Finland,Europe,2019,3.456,0.89,0.838,0.743,0.395,0.516,0.224
Iceland,Europe,2026,5.246,1.273,1.087,0.888,0.619,0.064,0.196
Sweden,Europe,2020,4.323,1.045,1.111,0.938,0.36,0.093,0.48
Sweden,Europe,2019,3.022,0.933,0.736,0.741,0.49,0.393,0.04
Finland,Europe,2025,6.714,1.659,1.587,1.193,0.822,0.269,0.49
Finland,Europe,2024,4.58,1.279,1.179,0.829,0.675,0.044,0.418
Denmark,Europe,2026,3.34,0.885,0.874,0.772,0.885,0.264,0.03
Denmark,Europe,2025,5.713,1.419,1.221,1.057,0.503,0.454,0.272
Norway,Europe,2025,5.609,1.344,1.365,1.053,0.424,0.374,0.179
Australia,Oceania,2022,3.116,0.888,0.88,0.766,0.707,0.139,0.054
Denmark,Europe,2025,5.511,1.487,1.31,1.029,0.542,0.243,0.113
Norway,Europe,2017,5.76,1.37,1.199,0.989,0.414,0.019,0.337
Denmark,Europe,2021,5.695,1.462,1.417,0.968,0.551,0.148,0.238
Germany,Europe,2016,6.475,1.64,1.398,1.205,0.319,0.352,0.277
Luxembourg,Europe,2020,3.357,0.861,0.892,0.717,0.667,0.33,0.137
Switzerland,Europe,2019,3.658,1.067,0.943,0.686,0.406,0.524,0.371
Denmark,Europe,2019,4.257,1.232,1.106,0.799,0.809,0.455,0.149
Austria,Europe,2022,3.893,0.934,1.017,0.737,0.792,0.597,0.038
Luxembourg,Europe,2022,6.85,1.754,1.561,1.197,0.572,0.357,0.487
Denmark,Europe,2024,7.431,1.752,1.734,1.349,0.578,0.368,0.136
Denmark,Europe,2019,3.545,0.858,0.842,0.784,0.665,0.062,0.426
Austria,Europe,2015,7.612,1.892,1.523,1.337,0.689,0.017,0.007
New Zealand,Oceania,2016,4.208,1.083,1.004,0.759,0.704,0.358,0.147
Sweden,Europe,2018,6.757,1.746,1.491,1.194,0.868,0.148,0.402
Canada,North America,2022,4.809,1.108,1.1,0.877,0.363,0.045,0.174
New Zealand,Oceania,2020,6.189,1.582,1.225,1.149,0.591,0.063,0.139
Switzerland,Europe,2019,5.898,1.457,1.409,1.17,0.683,0.492,0.03
Sweden,Europe,2019,3.907,0.974,0.819,0.879,0.811,0.548,0.424
Canada,North America,2023,6.262,1.506,1.465,1.065,0.758,0.041,0.006
Denmark,Europe,2024,7.291,1.848,1.628,1.247,0.673,0.313,0.431
Canada,North America,2015,3.613,0.846,0.954,0.752,0.499,0.101,0.233
United States,North America,2023,4.613,1.16,1.07,0.885,0.454,0.51,0.178
Switzerland,Europe,2022,3.534,0.881,0.878,0.824,0.763,0.539,0.167
Iceland,Europe,2021,3.494,0.832,0.986,0.809,0.354,0.068,0.017
Finland,Europe,2020,3.044,0.914,0.843,0.599,0.525,0.005,0.347
United States,North America,2018,5.744,1.553,1.224,1.16,0.68,0.145,0.218
Iceland,Europe,2023,5.143,1.199,1.076,1.03,0.689,0.342,0.084
Netherlands,Europe,2017,7.612,1.735,1.493,1.419,0.789,0.371,0.472
Denmark,Europe,2020,7.751,1.809,1.621,1.321,0.759,0.458,0.146
United States,North America,2015,3.055,0.829,0.773,0.756,0.582,0.154,0.446
Australia,Oceania,2026,5.876,1.367,1.273,1.17,0.654,0.207,0.313
Denmark,Europe,2019,7.266,1.731,1.535,1.324,0.31,0.492,0.44
India,South Asia,2020,3.059,0.823,0.789,0.74,0.836,0.58,0.443
Luxembourg,Europe,2015,6.079,1.404,1.276,1.128,0.72,0.393,0.025
Iceland,Europe,2017,3.617,0.869,0.805,0.78,0.799,0.245,0.346
India,South Asia,2025,7.672,1.825,1.735,1.44,0.819,0.04,0.325
Germany,Europe,2018,3.027,0.729,0.92,0.736,0.435,0.328,0.478
Denmark,Europe,2023,6.894,1.76,1.384,1.227,0.765,0.202,0.317
Luxembourg,Europe,2017,5.387,1.272,1.313,0.992,0.759,0.573,0.425
Netherlands,Europe,2021,5.726,1.351,1.411,1.133,0.819,0.416,0.312
Denmark,Europe,2018,5.756,1.442,1.283,1.055,0.423,0.453,0.226
Luxembourg,Europe,2022,5.597,1.522,1.143,1.087,0.377,0.229,0.293
Finland,Europe,2026,3.018,0.779,0.805,0.659,0.683,0.182,0.27
Switzerland,Europe,2026,3.209,0.81,0.969,0.777,0.693,0.528,0.107
Denmark,Europe,2019,3.857,0.899,1.05,0.822,0.714,0.328,0.35
New Zealand,Oceania,2022,6.195,1.479,1.386,1.118,0.634,0.311,0.429
Luxembourg,Europe,2022,3.906,0.925,0.93,0.689,0.491,0.221,0.188
Denmark,Europe,2026,4.459,1.097,0.941,0.871,0.392,0.37,0.078
Finland,Europe,2016,6.966,1.593,1.48,1.237,0.775,0.281,0.284
Australia,Oceania,2022,3.718,0.925,0.91,0.743,0.473,0.103,0.381
India,South Asia,2023,6.733,1.605,1.385,1.154,0.382,0.331,0.303
United States,North America,2022,6.265,1.501,1.327,1.176,0.51,0.128,0.187
India,South Asia,2016,6.818,1.647,1.442,1.126,0.575,0.015,0.285
Switzerland,Europe,2018,7.032,1.742,1.463,1.258,0.72,0.056,0.311
Denmark,Europe,2019,4.436,1.183,1.145,0.868,0.731,0.187,0.153
India,South Asia,2017,6.386,1.689,1.317,1.152,0.45,0.048,0.202
United States,North America,2021,4.298,1.07,0.982,0.942,0.77,0.043,0.436
Iceland,Europe,2021,7.275,1.736,1.549,1.37,0.464,0.549,0.414
United States,North America,2018,4.556,1.111,1.019,0.974,0.5,0.339,0.202
Netherlands,Europe,2026,3.928,1.048,1.062,0.699,0.834,0.399,0.308
Norway,Europe,2023,4.232,1.006,1.043,0.871,0.686,0.517,0.243
Netherlands,Europe,2017,4.389,1.181,1.074,0.865,0.71,0.382,0.441
Denmark,Europe,2015,4.836,1.217,1.172,0.982,0.7,0.54,0.143
India,South Asia,2025,3.628,1.013,0.917,0.743,0.487,0.302,0.081
Canada,North America,2020,3.474,0.957,0.754,0.653,0.351,0.229,0.421
Switzerland,Europe,2024,3.345,0.945,0.907,0.709,0.7,0.14,0.245
Denmark,Europe,2017,3.362,0.797,0.914,0.692,0.631,0.335,0.139
Norway,Europe,2025,4.848,1.148,1.088,0.933,0.659,0.561,0.389
Australia,Oceania,2019,3.836,0.919,1.012,0.817,0.892,0.313,0.413
Sweden,Europe,2023,7.196,1.813,1.588,1.292,0.734,0.252,0.048
Norway,Europe,2026,7.39,1.82,1.652,1.307,0.317,0.039,0.269
Netherlands,Europe,2022,4.034,1.118,1.069,0.787,0.748,0.242,0.339
Canada,North America,2026,3.25,0.825,0.89,0.605,0.447,0.513,0.291
New Zealand,Oceania,2018,3.229,0.776,0.964,0.754,0.807,0.555,0.253
Denmark,Europe,2015,4.278,1.142,1.071,0.873,0.568,0.208,0.418
Canada,North America,2026,4.542,1.075,0.939,0.8,0.65,0.031,0.168
Switzerland,Europe,2020,4.413,1.212,1.118,0.811,0.737,0.449,0.199
India,South Asia,2024,4.794,1.316,1.148,0.969,0.428,0.43,0.114
Norway,Europe,2017,5.687,1.475,1.159,1.003,0.384,0.234,0.142
New Zealand,Oceania,2025,3.522,1.013,0.748,0.669,0.775,0.446,0.238
Australia,Oceania,2025,5.927,1.456,1.262,1.117,0.562,0.055,0.458
Switzerland,Europe,2023,3.271,0.901,0.714,0.758,0.668,0.103,0.01
New Zealand,Oceania,2021,5.435,1.429,1.115,0.96,0.496,0.131,0.196
Sweden,Europe,2022,3.829,0.957,0.93,0.721,0.653,0.554,0.374
Sweden,Europe,2020,5.797,1.447,1.199,1.149,0.449,0.055,0.375
Iceland,Europe,2018,4.785,1.11,1.002,0.852,0.333,0.394,0.419
United States,North America,2026,7.198,1.687,1.493,1.21,0.672,0.252,0.307
Iceland,Europe,2020,5.619,1.443,1.392,1.003,0.515,0.431,0.306
Norway,Europe,2020,4.646,1.121,0.996,0.943,0.668,0.124,0.073
India,South Asia,2016,6.013,1.373,1.188,1.08,0.715,0.417,0.215
Germany,Europe,2025,5.501,1.505,1.139,1.045,0.595,0.117,0.375
Australia,Oceania,2021,6.235,1.531,1.39,1.047,0.718,0.032,0.409
Australia,Oceania,2015,4.138,1.041,0.989,0.84,0.472,0.355,0.149
Canada,North America,2021,3.012,0.738,0.88,0.744,0.556,0.308,0.073
Finland,Europe,2024,4.399,1.231,1.192,0.823,0.389,0.476,0.3
Sweden,Europe,2025,7.545,1.729,1.646,1.316,0.634,0.128,0.344
Switzerland,Europe,2019,5.2,1.325,1.108,1.058,0.883,0.472,0.271
Finland,Europe,2025,3.738,0.992,0.934,0.759,0.781,0.402,0.063
India,South Asia,2019,4.628,1.209,1.02,0.818,0.692,0.511,0.466
Austria,Europe,2025,4.923,1.263,1.22,0.907,0.407,0.351,0.333
New Zealand,Oceania,2016,5.673,1.341,1.411,1.056,0.632,0.544,0.312
Denmark,Europe,2023,4.421,1.148,1.156,0.922,0.878,0.043,0.134
India,South Asia,2025,6.605,1.538,1.319,1.203,0.547,0.429,0.244
Denmark,Europe,2024,5.042,1.377,1.126,0.923,0.503,0.118,0.43
Luxembourg,Europe,2026,7.361,1.74,1.695,1.362,0.649,0.402,0.163
New Zealand,Oceania,2020,7.782,1.791,1.756,1.367,0.533,0.368,0.028
Netherlands,Europe,2022,5.047,1.395,1.137,0.929,0.564,0.312,0.316
Finland,Europe,2020,5.17,1.392,1.191,0.943,0.695,0.431,0.279
Germany,Europe,2023,3.815,0.961,0.872,0.807,0.311,0.453,0.133
Switzerland,Europe,2026,5.534,1.321,1.361,0.947,0.567,0.51,0.308
Finland,Europe,2022,5.02,1.331,1.296,1.032,0.505,0.599,0.002
Netherlands,Europe,2015,3.957,0.936,0.883,0.779,0.738,0.375,0.119
New Zealand,Oceania,2017,7.446,1.892,1.537,1.413,0.725,0.037,0.018
Finland,Europe,2018,6.494,1.525,1.422,1.093,0.853,0.206,0.454
Denmark,Europe,2018,3.029,0.833,0.653,0.736,0.611,0.045,0.055
Finland,Europe,2018,7.513,1.876,1.713,1.3,0.326,0.585,0.009
Iceland,Europe,2019,4.77,1.102,1.165,1.012,0.879,0.097,0.091
Switzerland,Europe,2019,6.549,1.536,1.567,1.21,0.808,0.324,0.207
United States,North America,2024,6.896,1.754,1.509,1.261,0.445,0.26,0.128
Denmark,Europe,2017,3.54,0.999,0.815,0.726,0.48,0.194,0.13
Netherlands,Europe,2019,5.132,1.338,1.272,0.955,0.685,0.572,0.42
Germany,Europe,2025,6.095,1.435,1.365,1.21,0.611,0.557,0.204
Switzerland,Europe,2024,5.78,1.332,1.316,1.022,0.319,0.493,0.138
India,South Asia,2022,3.739,1.049,1.065,0.707,0.764,0.053,0.191
Canada,North America,2016,4.29,1.126,1.137,0.932,0.36,0.163,0.49
Austria,Europe,2025,6.325,1.505,1.345,1.087,0.814,0.53,0.148
United States,North America,2026,4.646,1.314,1.145,0.877,0.416,0.214,0.085
Switzerland,Europe,2016,7.352,1.917,1.473,1.214,0.498,0.277,0.102
Iceland,Europe,2015,3.964,1.116,1.027,0.822,0.532,0.545,0.485
